Title,Author,Date,Price,Rating
Data Engineering with dbt,Marcelo Leite,25-Nov-22,£33.99,3.9 out of 5 stars
Mastering Databricks Lakehouse Platform,Sagar Lad,11-Jul-22,£24.99,3.5 out of 5 stars
Data Engineering with db,Roberto Zagni,30-Jun-23,£37.99,4.7 out of 5 stars
Data Engineering with Google Cloud Platform,Adi Wijaya,31-Mar-22,£39.99,4.6 out of 5 stars
The Definitive Guide to Azure Data Engineering,Ron C. L'Esteve,07-Aug-21,£39.99,4.1 out of 5 stars
Data Engineering on Azure,Vlad Riscutia,21-Sep-21,£28.65,4.6 out of 5 stars
Excel: Data Engineering with excel,Leonard J. Ledger,01-Apr-22,£14.97,4.2 out of 5 stars
Solutions Architect's Handbook,No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
Ace the Data Engineering Interview,Sean Coyne,30-Oct-23,£23.58,4.1 out of 5 stars
Solutions Architect's Handbook,No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,05-Dec-22,£18.71,4.4 out of 5 stars
Microsoft Azure Data Engineering,Jack Reynolds,28-Feb-23,£11.89,5.0 out of 5 stars
Blockchain Essentials,Ramchandra Sharad Mangrulkar,06-Jan-23,£42.26,5.0 out of 5 stars
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse",Mr Anand M,19-Feb-23,£23.78,5.0 out of 5 stars
