Title,Author,Date,Price,Rating
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25-Nov-22,£33.99,3.9 out of 5 stars
"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11-Jul-22,£24.99,3.5 out of 5 stars
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30-Jun-23,£37.99,4.7 out of 5 stars
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31-Mar-22,£39.99,4.6 out of 5 stars
"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,07-Aug-21,£39.99,4.1 out of 5 stars
Data Engineering on Azure,Vlad Riscutia,21-Sep-21,£28.65,4.6 out of 5 stars
Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,01-Apr-22,£14.97,4.2 out of 5 stars
"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30-Oct-23,£23.58,4.1 out of 5 stars
"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,05-Dec-22,£18.71,4.4 out of 5 stars
Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28-Feb-23,£0.00,5.0 out of 5 stars
Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,06-Jan-24,£42.26,No Rating Found
"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19-Feb-24,£23.78,No Rating Found
Observability Engineering: Achieving Production Excellence,Charity Majors,31-May-22,£37.44,4.3 out of 5 stars
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22-Oct-21,£28.99,3.8 out of 5 stars
Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,05-Apr-21,£28.99,3.5 out of 5 stars
The Kubernetes Book,Nigel Poulton,20-Jun-23,£42.99,4.5 out of 5 stars
"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28-Nov-21,£29.99,4.4 out of 5 stars
Learning Spark: Lightning-Fast Data Analytics,No Author Found,21-Aug-20,£43.98,4.7 out of 5 stars
Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22-Mar-22,£39.76,4.0 out of 5 stars
ICT and Data Sciences (Green Engineering and Technology),No Author Found,16-May-22,£126.24,No Rating Found
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25-Nov-22,£33.99,3.9 out of 5 stars
"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11-Jul-22,£24.99,3.5 out of 5 stars
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30-Jun-23,£37.99,4.7 out of 5 stars
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31-Mar-22,£39.99,4.6 out of 5 stars
"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,07-Aug-21,£39.99,4.1 out of 5 stars
Data Engineering on Azure,Vlad Riscutia,21-Sep-21,£28.65,4.6 out of 5 stars
Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,01-Apr-22,£14.97,4.2 out of 5 stars
"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30-Oct-23,£23.58,4.1 out of 5 stars
"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,05-Dec-22,£18.71,4.4 out of 5 stars
Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28-Feb-23,£0.00,5.0 out of 5 stars
Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,06-Jan-24,£42.26,No Rating Found
"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19-Feb-24,£23.78,No Rating Found
Observability Engineering: Achieving Production Excellence,Charity Majors,31-May-22,£37.44,4.3 out of 5 stars
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22-Oct-21,£28.99,3.8 out of 5 stars
Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,05-Apr-21,£28.99,3.5 out of 5 stars
The Kubernetes Book,Nigel Poulton,20-Jun-23,£42.99,4.5 out of 5 stars
"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28-Nov-21,£29.99,4.4 out of 5 stars
Learning Spark: Lightning-Fast Data Analytics,No Author Found,21-Aug-20,£43.98,4.7 out of 5 stars
Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22-Mar-22,£39.76,4.0 out of 5 stars
ICT and Data Sciences (Green Engineering and Technology),No Author Found,16-May-22,£126.24,No Rating Found
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25-Nov-22,£33.99,3.9 out of 5 stars
"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11-Jul-22,£24.99,3.5 out of 5 stars
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30-Jun-23,£37.99,4.7 out of 5 stars
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31-Mar-22,£39.99,4.6 out of 5 stars
"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,07-Aug-21,£39.99,4.1 out of 5 stars
Data Engineering on Azure,Vlad Riscutia,21-Sep-21,£28.65,4.6 out of 5 stars
Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,01-Apr-22,£14.97,4.2 out of 5 stars
"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30-Oct-23,£23.58,4.1 out of 5 stars
"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17-Jan-22,£39.99,4.5 out of 5 stars
Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,05-Dec-22,£18.71,4.4 out of 5 stars
Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28-Feb-23,£0.00,5.0 out of 5 stars
Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,06-Jan-24,£42.26,No Rating Found
"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19-Feb-24,£23.78,No Rating Found
Observability Engineering: Achieving Production Excellence,Charity Majors,31-May-22,£37.44,4.3 out of 5 stars
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22-Oct-21,£28.99,3.8 out of 5 stars
Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,05-Apr-21,£28.99,3.5 out of 5 stars
The Kubernetes Book,Nigel Poulton,20-Jun-23,£42.99,4.5 out of 5 stars
"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28-Nov-21,£29.99,4.4 out of 5 stars
Learning Spark: Lightning-Fast Data Analytics,No Author Found,21-Aug-20,£43.98,4.7 out of 5 stars
Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22-Mar-22,£39.76,4.0 out of 5 stars
ICT and Data Sciences (Green Engineering and Technology),No Author Found,16-May-22,£126.24,No Rating Found
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25-Nov-22,£33.99,3.9 out of 5 stars
"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11-Jul-22,£24.99,3.5 out of 5 stars
