,Title,Author,,Price,Star Rating
0,Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25 Nov 2022,£33.99,3.9 out of 5 stars
1,"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11 Jul 2022,£24.99,3.5 out of 5 stars
2,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
3,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
4,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
5,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
6,The Kubernetes Book,Nigel Poulton,20 Jun 2023,£42.99,4.5 out of 5 stars
7,Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,1 Apr 2022,£14.97,4.2 out of 5 stars
8,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
9,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
10,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
11,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
12,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
13,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
14,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
15,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
16,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
17,Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,6 Jan 2024,£42.26,No Rating Found
18,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
19,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
20,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
21,Towards a New Understanding of Masculine Habitus and Women and Leadership in Public Relations (Routledge New Directions in PR & Communication Research),Martina Topić,30 Sept 2022,£35.09,4.8 out of 5 stars
22,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
23,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
24,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
25,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
26,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
27,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
28,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
29,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
30,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
31,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
32,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
33,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
34,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
35,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
36,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
37,Towards a New Understanding of Masculine Habitus and Women and Leadership in Public Relations (Routledge New Directions in PR & Communication Research),Martina Topić,30 Sept 2022,£35.09,4.8 out of 5 stars
38,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
39,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
40,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
41,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
42,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
43,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
44,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
45,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
46,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
47,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
48,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
49,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
50,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
